Rua,ID,TemVaga
Av. Adilson Serôa de Motta,511973348-511973314,1
Av. Afonso de Taunay,511973409-3504127327,1
Av. Afonso de Taunay,511973276-511973277,1
Av. Afonso de Taunay,511973295-511973384,1
Av. Afonso de Taunay,511973388-1607102727,1
Av. Afonso de Taunay,3504127327-511973409,1
Av. Afonso de Taunay,4726069092-511973376,1
Av. Alda Garrido,376072715-4384326782,1
Av. Alda Garrido,511973235-511973250,1
Av. Alda Garrido,511973273-511973235,1
Av. Alda Garrido,511973284-376072377,1
Av. Alda Garrido,4337884998-511973272,1
Av. Armando Lombardi,511973237-4726069092,0
Av. Armando Lombardi,511973262-511973237,0
Av. Armando Lombardi,4330791594-4731526393,0
Av. Armando Lombardi,4391077985-4330791594,0
Av. Belisário Leite de Andrade Neto,349341507-511973311,1
Av. Belisário Leite de Andrade Neto,376080378-376071320,1
Av. Belisário Leite de Andrade Neto,511973310-376071315,1
Av. Belisário Leite de Andrade Neto,3251106569-376080379,1
Av. Cmte. Júlio de Moura,511973281-376080385,2
Av. Cmte. Júlio de Moura,511973347-376080368,2
Av. Cmte. Júlio de Moura,3213566635-511973347,2
Av. Do Pepê,349341069-349341413,1
Av. Do Pepê,349341413-511973346,1
Av. Do Pepê,349341418-511973299,1
Av. Do Pepê,511973299-511973303,1
Av. do Pepê,511973346-376071320,1
Av. Érico Veríssimo,349341045-376080366,1
Av. Érico Veríssimo,349341470-376080365,1
Av. Érico Veríssimo,376076264-1757646261,0
Av. Érico Veríssimo,511973318-349341481,1
Av. Érico Veríssimo,1607062973-376076264,0
Av. Fernando Mattos,678834011-1607102727,1
Av. Fernando Mattos,4384326723-4384326769,1
Av. Gen. Guedes da Fontoura,511973298-511973306,1
Av. Gen. Guedes da Fontoura,511973306-511973310,1
Av. Gen. Guedes da Fontoura,511973311-511973314,1
Av. Gen. Guedes da Fontoura,511973318-511973315,1
Av. Gen. Guedes da Fontoura,2726222270-511973300,1
Av. Gilberto Amado,376071134-376077188,1
Av. Gilberto Amado,376077188-511973297,1
Av. Gilberto Amado,376077278-376071110,1
Av. Gilberto Amado,511973296-376077278,1
Av. Gilberto Amado,511973297-2726222265,1
Av. Gilberto Amado,964813675-376077370,1
Av. Gilberto Amado,3696058493-2726222265,1
Av. João Carlos Machado,376076264-622086727,2
Av. João Carlos Machado,376076283-511973345,2
Av. Lúcio Costa,511973231-329669547,1
Av. Lúcio Costa,511973267-874316719,1
Av. Ministro Ivan Lins,511973351-376076645,0
Av. Ministro Ivan Lins,4731526388-146441646,0
Av. Ministro Ivan Lins,146441646-146441648,0
Av. Ministro Ivan Lins,964813674-4242226491,0
Av. Ministro Ivan Lins,964813682-1729255683,0
Av. Ministro Ivan Lins,1729255683-1757456238,0
Av. Ministro Ivan Lins,1757456198-964813682,0
Av. Monsenhor Ascâneo,376073280-511973268,1
Av. Monsenhor Ascâneo,511973269-511973229,1
Av. Monsenhor Ascâneo,874316257-511973292,1
Av. Olegário Maciel,376077124-1757456184,1
Av. Olegário Maciel,3251106562-376080384,1
Av. Rodolfo Amoedo,511973260-814301145,0
Av. Rodolfo Amoedo,814301145-814301136,0
Av. Rodolfo Amoedo,2792880774-511973240,0
R. Aldo Bonadei,678834018-1607062969,1
R. Aldo Bonadei,1757646261-678834018,1
R. Armando Coelho de Freitas,511973345-511973339,1
R. Armando Coelho de Freitas,511973339-511973345,1
R. Brasília,511973223-511973228,1
R. Brasília,511973228-511973223,1
R. Campos Novos,511973222-511973227,1
R. Campos Novos,511973227-511973222,1
R. Des. Fernandes Pinheiro,511973338-511973343,2
R. Gen. Ivan Raposo,511973268-376073603,1
R. Gen. Sidônio Dias Corrêa,511973282-874316257,1
R. Gen. Sidônio Dias Corrêa,511973283-511973284,1
R. Gen. Sidônio Dias Corrêa,511973285-511973286,1
R. Gen. Sidônio Dias Corrêa,511973287-511973288,1
R. Gen. Sidônio Dias Corrêa,4384326782-4384326723,1
R. Georgina de Albuquerque,678834011-4272784739,1
R. Ivone Cavaleiro,511973433-511973432,1
R. Ivone Cavaleiro,511973432-511973433,1
R. John Kennedy,400657930-511973433,1
R. Manuel Brasiliense,511973363-678834017,1
R. Manuel Brasiliense,678834017-4272784745,1
R. Paulo Assis Ribeiro,622086619-622086727,2
R. Paulo Mazzucchelli,1607062973-1607062980,1
R. Pedro Bolato,678834071-1607062967,1
R. Pedro Lago,678834014-678834013,1
R. Pedro Lago,4272784742-678834014,1
R. Sanharó,376073603-376073604,1
R. Sanharó,376073604-376073603,0